School,Athlete_Name,Product,Type,Price
Ohio State,Nina Andrianos,Red Dance Team Hoodie,Hoodie,64.99
Ohio State,Nina Andrianos,Red Dance Team Crew,Crew,54.99
Ohio State,Nina Andrianos,Red Dance Team Script Tee,Tee,39.99
Ohio State,Zachary Antoniou,Ohio State Men's Lacrosse Red Jersey  NA,NA,89.99
Ohio State,Zachary Antoniou,Men's Lacrosse White Brutus Comfort Colors Tee  NA,NA,44.99
Ohio State,Zachary Antoniou,Red Men's Lacrosse Script Crew  NA,NA,54.99
Ohio State,Zachary Antoniou,Red Men's Lacrosse Script Hoodie  NA,NA,64.99
Ohio State,Zachary Antoniou,Red Men's Lacrosse Script Tee  NA,NA,39.99
Ohio State,Zachary Antoniou,Red Men's Lacrosse Team Tee  NA,NA,39.99
Ohio State,Zachary Antoniou,Sport Grey Men's Lacrosse The Crew  NA,NA,54.99
Ohio State,Zachary Antoniou,Sport Grey Men's Lacrosse The Tee  NA,NA,39.99
Ohio State,Zachary Antoniou,Men's Lacrosse White Brutus Hoodie  NA,NA,64.99
Ohio State,Zachary Antoniou,Red Men's Lacrosse Team Crew  NA,NA,54.99
Ohio State,Zachary Antoniou,Red Men's Lacrosse Team Hoodie  NA,NA,64.99
Ohio State,Zachary Antoniou,Sport Grey Men's Lacrosse The Hoodie  NA,NA,64.99
Ohio State,NA,Football Black Gridiron Hoodie,Hoodie,64.99
Ohio State,Kojo Antwi,Football Black Gridiron Tee,Tee,39.99
Ohio State,Kojo Antwi,Football Black Gridiron Hoodie,Hoodie,64.99
Ohio State,Kojo Antwi,Football Black Gridiron Crew,Crew,54.99
Ohio State,NA,Ohio State Football Black Jersey,Jersey,109.99
Ohio State,NA,Football Black Gridiron Tee,Tee,39.99
Ohio State,NA,Football Black Gridiron Crew,Crew,54.99
Ohio State,NA,Football White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Football White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Football The Tee,Tee,39.99
Ohio State,NA,Sport Grey Football The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Football The Crew,Crew,54.99
Ohio State,NA,Red Football Team Tee,Tee,39.99
Ohio State,NA,Red Football Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Football Team Crew,Crew,54.99
Ohio State,NA,Red Football Script Tee,Tee,39.99
Ohio State,NA,Red Football Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Football Script Crew,Crew,54.99
